,North America,Southeast Asia,Europe,South America,Oceania,East Asia,South Asia,Middle East,Central America,Other,North/Central Asia,Africa
Anime,687,455,296,92,60,18,15,11,11,6,4,1
Music,669,486,303,92,65,18,14,13,14,7,6,1
Lives,362,309,136,41,36,16,7,6,7,3,3,0
Seiyuu,306,310,138,48,34,15,6,7,8,3,2,0
Livestreams,205,226,94,30,17,11,5,4,5,2,3,0
Story/Universe,500,343,239,60,45,12,8,11,9,2,4,1
TV Programs,181,227,76,40,20,11,5,3,8,2,1,0
Merchandise,263,158,97,8,20,6,3,2,3,3,2,0
Game,970,634,412,120,79,27,16,18,18,11,8,1
Weiss Schwarz,37,26,17,2,5,1,1,0,0,1,0,0
Radios,122,171,48,27,8,10,3,5,6,1,1,0
Manga,89,86,43,11,9,2,4,2,3,1,3,1
Other,28,16,14,1,0,0,0,0,0,3,0,0
