,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,antecedent_len,consequent_len,rule_len
43,frozenset({'RAISE A SUILEN'}),frozenset({'20-24'}),0.06195737963693765,0.3642462509865825,0.027624309392265192,0.4458598726114649,1.2240616654360261,0.005056566138558226,1.1472797539667419,1,1,2
22,frozenset({'25-29'}),frozenset({'Roselia'}),0.12312549329123915,0.48105761641673245,0.06985003946329914,0.5673076923076924,1.1792926105887551,0.010619583140481254,1.1993335087257744,1,1,2
58,frozenset({'30-34'}),frozenset({'Afterglow'}),0.034333070244672456,0.3425414364640884,0.013417521704814523,0.3908045977011494,1.1408972932888393,0.0016570225049819687,1.0792244344834774,1,1,2
33,frozenset({'25-29'}),"frozenset({""Poppin'Party""})",0.12312549329123915,0.30544593528018943,0.04143646408839779,0.3365384615384615,1.1017938779566685,0.0038282826332205616,1.0468640975486998,1,1,2
4,frozenset({'14-19'}),"frozenset({'Hello, Happy World!'})",0.45343330702446727,0.345698500394633,0.17245461720599842,0.3803307223672759,1.1001804229208643,0.015703402938660876,1.0558882346159644,1,1,2
5,"frozenset({'Hello, Happy World!'})",frozenset({'14-19'}),0.345698500394633,0.45343330702446727,0.17245461720599842,0.49885844748858443,1.100180422920864,0.015703402938660876,1.0906433326801062,1,1,2
59,frozenset({'30-34'}),"frozenset({'Hello, Happy World!'})",0.034333070244672456,0.345698500394633,0.013022888713496448,0.3793103448275862,1.0972287828688394,0.001153997815969584,1.054152416030869,1,1,2
7,frozenset({'Afterglow'}),frozenset({'14-19'}),0.3425414364640884,0.45343330702446727,0.16574585635359115,0.48387096774193544,1.0671270950896992,0.010426160024768094,1.0589729676400947,1,1,2
6,frozenset({'14-19'}),frozenset({'Afterglow'}),0.45343330702446727,0.3425414364640884,0.16574585635359115,0.3655352480417754,1.0671270950896992,0.010426160024768094,1.0362412750380827,1,1,2
16,frozenset({'Pastel*Palettes'}),frozenset({'20-24'}),0.30465666929755325,0.3642462509865825,0.11404893449092345,0.37435233160621767,1.0277451877466475,0.0030788848612306047,1.0161529901415287,1,1,2
17,frozenset({'20-24'}),frozenset({'Pastel*Palettes'}),0.3642462509865825,0.30465666929755325,0.11404893449092345,0.3131094257854821,1.0277451877466472,0.0030788848612306047,1.0123058268743823,1,1,2
19,"frozenset({""Poppin'Party""})",frozenset({'20-24'}),0.30544593528018943,0.3642462509865825,0.11207576953433307,0.3669250645994832,1.00735440270324,0.0008182327294337655,1.0042314321150718,1,1,2
18,frozenset({'20-24'}),"frozenset({""Poppin'Party""})",0.3642462509865825,0.30544593528018943,0.11207576953433307,0.3076923076923077,1.00735440270324,0.0008182327294337655,1.0032447601508374,1,1,2
56,frozenset({'30-34'}),frozenset({'Roselia'}),0.034333070244672456,0.48105761641673245,0.016574585635359115,0.48275862068965514,1.003535967865124,5.8400699188741745e-05,1.003288608260984,1,1,2
3,frozenset({'Roselia'}),frozenset({'20-24'}),0.48105761641673245,0.3642462509865825,0.17561168113654302,0.36505332239540605,1.0022157301733032,0.00038824784820676306,1.001271085332501,1,1,2
