,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,antecedent_len,consequent_len,rule_len
87,frozenset({'Kitazawa Hagumi'}),frozenset({'14-19'}),0.07063930544593527,0.45343330702446727,0.042620363062352014,0.6033519553072626,1.3306299867263738,0.01059014918809012,1.3779639160932446,1,1,2
21,frozenset({'Seta Kaoru'}),frozenset({'14-19'}),0.16258879242304658,0.45343330702446727,0.08918705603788477,0.5485436893203883,1.2097560563427885,0.015463882204388102,1.2106746102468788,1,1,2
60,frozenset({'Yamato Maya'}),frozenset({'14-19'}),0.10615627466456196,0.45343330702446727,0.05445935280189424,0.5130111524163569,1.1313927417084841,0.006324562119344242,1.1223392397741856,1,1,2
45,frozenset({'Yamabuki Saaya'}),frozenset({'20-24'}),0.15627466456195738,0.3642462509865825,0.0643251775848461,0.41161616161616166,1.1300491370913908,0.00740271689396739,1.080508517636538,1,1,2
61,frozenset({'Hazawa Tsugumi'}),frozenset({'20-24'}),0.1298342541436464,0.3642462509865825,0.053275453827940016,0.41033434650455924,1.1265300477167424,0.005983813506477649,1.0781597083784245,1,1,2
3,frozenset({'Hikawa Sayo'}),frozenset({'20-24'}),0.3310970797158643,0.3642462509865825,0.13378058405682716,0.40405244338498214,1.1092837394772965,0.013179714057717964,1.0667947908445146,1,1,2
4,frozenset({'Aoba Moca'}),frozenset({'14-19'}),0.26558800315706393,0.45343330702446727,0.13338595106550907,0.5022288261515602,1.107613442530943,0.01295950448797692,1.0980280130523388,1,1,2
79,frozenset({'Ushigome Rimi'}),frozenset({'14-19'}),0.08958168902920284,0.45343330702446727,0.04498816101026046,0.5022026431718062,1.1075556986922166,0.004368839504911577,1.0979702593402294,1,1,2
18,frozenset({'Maruyama Aya'}),frozenset({'20-24'}),0.2462509865824783,0.3642462509865825,0.0978689818468824,0.39743589743589747,1.0911187043364725,0.008172983182467466,1.0550806898520546,1,1,2
209,frozenset({'Asahi LOCK Rokka'}),frozenset({'20-24'}),0.05485398579321231,0.3642462509865825,0.021704814522494082,0.3956834532374101,1.086307552008231,0.001724455845645241,1.0520210846769646,1,1,2
40,frozenset({'Toyama Kasumi'}),frozenset({'14-19'}),0.1440410418310971,0.45343330702446727,0.0702446724546172,0.48767123287671227,1.0755081846036456,0.004931666509893226,1.0668280370912804,1,1,2
77,frozenset({'Uehara Himari'}),frozenset({'14-19'}),0.09668508287292818,0.45343330702446727,0.04696132596685083,0.48571428571428565,1.0711923411662314,0.003121089099844321,1.062768569674647,1,1,2
38,frozenset({'Matsubara Kanon'}),frozenset({'20-24'}),0.18310970797158643,0.3642462509865825,0.07103393843725335,0.38793103448275856,1.0650240968356557,0.004336913789355051,1.0386962659937524,1,1,2
42,frozenset({'Shirasagi Chisato'}),frozenset({'20-24'}),0.16929755327545382,0.3642462509865825,0.06550907655880031,0.38694638694638694,1.0623208499698207,0.003843077477015039,1.0370279784287304,1,1,2
46,frozenset({'Hikawa Hina'}),frozenset({'20-24'}),0.1653512233622731,0.3642462509865825,0.06393054459352802,0.3866348448687351,1.06146554376747,0.0037019813877750413,1.036501248391525,1,1,2
9,frozenset({'Shirokane Rinko'}),frozenset({'14-19'}),0.23835832675611682,0.45343330702446727,0.11444356748224152,0.48013245033112584,1.0588821837589841,0.00636396312439691,1.0513575877618528,1,1,2
72,frozenset({'Wakamiya Eve'}),frozenset({'14-19'}),0.09905288082083662,0.45343330702446727,0.0473559589581689,0.47808764940239046,1.0543725879770733,0.002442083637276528,1.0472384728004482,1,1,2
86,frozenset({'Udagawa Tomoe'}),frozenset({'14-19'}),0.08997632202052092,0.45343330702446727,0.04301499605367009,0.47807017543859653,1.054334050967279,0.002216734806006891,1.047203411751441,1,1,2
19,frozenset({'Minato Yukina'}),frozenset({'20-24'}),0.24427782162588793,0.3642462509865825,0.09273875295974743,0.3796445880452342,1.0422745244925498,0.003761472233348634,1.0248217985398578,1,1,2
27,frozenset({'Mitake Ran'}),frozenset({'14-19'}),0.17048145224940806,0.45343330702446727,0.08050513022888714,0.4722222222222222,1.0414369983560583,0.0032031615491042442,1.0356000498483777,1,1,2
43,frozenset({'Tsurumaki Kokoro'}),frozenset({'20-24'}),0.1728492501973165,0.3642462509865825,0.06550907655880031,0.37899543378995426,1.0404923393540022,0.0025493851885859675,1.0237505223083707,1,1,2
116,frozenset({'Udagawa Tomoe'}),frozenset({'20-24'}),0.08997632202052092,0.3642462509865825,0.03393843725335438,0.37719298245614036,1.0355438976639866,0.0011648992798181518,1.0207877096835156,1,1,2
105,frozenset({'Wakamiya Eve'}),frozenset({'20-24'}),0.09905288082083662,0.3642462509865825,0.037095501183898975,0.37450199203187257,1.0281560647982286,0.0010158606954884797,1.01639612103419,1,1,2
56,frozenset({'Udagawa Ako'}),frozenset({'14-19'}),0.12273086029992107,0.45343330702446727,0.056827150749802685,0.46302250803858525,1.021147985526349,0.001176890890051574,1.017857733625094,1,1,2
17,frozenset({'Okusawa Misaki'}),frozenset({'20-24'}),0.27111286503551696,0.3642462509865825,0.09944751381215469,0.36681222707423583,1.0070446190748794,0.0006956691287363231,1.004052472579811,1,1,2
12,frozenset({'Imai Lisa'}),frozenset({'20-24'}),0.2971586424625099,0.3642462509865825,0.1085240726124704,0.3652058432934927,1.0026344603528825,0.000285151147238899,1.0015116590106765,1,1,2
20,frozenset({'Ichigaya Arisa'}),frozenset({'14-19'}),0.20205209155485399,0.45343330702446727,0.09155485398579322,0.453125,0.9993200609225413,-6.229407913466156e-05,0.9994362385838312,1,1,2
48,frozenset({'Mitake Ran'}),frozenset({'20-24'}),0.17048145224940806,0.3642462509865825,0.06195737963693765,0.36342592592592593,0.9977478833112636,-0.00013985020765731188,0.998711343904714,1,1,2
