,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,antecedent_len,consequent_len,rule_len
365,frozenset({'Kitazawa Hagumi'}),frozenset({'Udagawa Ako'}),0.054233320327740926,0.11158798283261803,0.016777214202106906,0.30935251798561153,2.7722744881018264,0.010725427384419077,1.2863465665236054,1,1,2
118,frozenset({'Udagawa Tomoe'}),frozenset({'Seta Kaoru'}),0.11002731174404994,0.14865392118611004,0.03316426063207179,0.3014184397163121,2.0276521285903093,0.016808269303752232,1.218678143276736,1,1,2
686,frozenset({'Uzawa Rii'}),frozenset({'Hikawa Hina'}),0.030433086227077643,0.19586422161529457,0.010534529847834569,0.34615384615384615,1.7673153539687405,0.004573777102616865,1.2298547198824905,1,1,2
119,frozenset({'Ushigome Rimi'}),frozenset({'Shirokane Rinko'}),0.1092469761997659,0.18181818181818182,0.03316426063207179,0.3035714285714286,1.6696428571428572,0.013301174050296172,1.1748251748251748,1,1,2
36,frozenset({'Yamabuki Saaya'}),frozenset({'Imai Lisa'}),0.2001560671088568,0.23800234100663284,0.07062036675770582,0.3528265107212476,1.4824497491451765,0.02298275421911719,1.1774240935650524,1,1,2
38,frozenset({'Hazawa Tsugumi'}),frozenset({'Hikawa Sayo'}),0.16894264533749512,0.2758486149044089,0.06866952789699571,0.4064665127020785,1.473512973204282,0.022066933182360887,1.2200682869509378,1,1,2
67,frozenset({'Uehara Himari'}),frozenset({'Matsubara Kanon'}),0.14553257900897387,0.2500975419430355,0.05228248146703082,0.3592493297587131,1.4364368676623738,0.015885141184255852,1.1703498613190282,1,1,2
444,frozenset({'Uzawa Rii'}),frozenset({'Okusawa Misaki'}),0.030433086227077643,0.3312524385485759,0.01443620756925478,0.4743589743589744,1.4320165503911089,0.0043551735439762325,1.2722514583710023,1,1,2
61,frozenset({'Hazawa Tsugumi'}),frozenset({'Matsubara Kanon'}),0.16894264533749512,0.2500975419430355,0.05657432696059306,0.33487297921478065,1.3389694941146377,0.0143221866323315,1.1274575150648112,1,1,2
45,frozenset({'Yamato Maya'}),frozenset({'Okusawa Misaki'}),0.14280140460397972,0.3312524385485759,0.06320717908700742,0.4426229508196721,1.3362103921682211,0.0159038655837773,1.1998118014275552,1,1,2
460,frozenset({'Uzawa Rii'}),frozenset({'Aoba Moca'}),0.030433086227077643,0.3499804916113929,0.01404603979711276,0.46153846153846156,1.3187548237715463,0.0033950533181082154,1.2071790870074133,1,1,2
215,frozenset({'Nijukki Hinako'}),frozenset({'Hikawa Sayo'}),0.06437768240343347,0.2758486149044089,0.02301989855637924,0.3575757575757576,1.2962753418198965,0.005261404034636184,1.1272167786865337,1,1,2
59,frozenset({'Toyama Kasumi'}),frozenset({'Maruyama Aya'}),0.14748341786968397,0.30003901677721423,0.05696449473273508,0.3862433862433862,1.2873105317838736,0.012713715044172076,1.1404536709405735,1,1,2
57,frozenset({'Shirokane Rinko'}),frozenset({'Matsubara Kanon'}),0.18181818181818182,0.2500975419430355,0.05813499804916114,0.3197424892703863,1.2784711388455539,0.012662717695881953,1.1023802695726985,1,1,2
69,frozenset({'Uehara Himari'}),frozenset({'Ichigaya Arisa'}),0.14553257900897387,0.27155676941084667,0.05033164260632072,0.3458445040214477,1.2735624479985206,0.010811285606614977,1.1135628074170254,1,1,2
89,frozenset({'Wakamiya Eve'}),frozenset({'Matsubara Kanon'}),0.12290284822473664,0.2500975419430355,0.03862660944206009,0.3142857142857143,1.2566525518163583,0.007888909203255488,1.093607751333073,1,1,2
16,frozenset({'Maruyama Aya'}),frozenset({'Matsubara Kanon'}),0.30003901677721423,0.2500975419430355,0.09364026531408505,0.3120936280884265,1.2478876268184667,0.018601244731098573,1.090122854907005,1,1,2
17,frozenset({'Matsubara Kanon'}),frozenset({'Maruyama Aya'}),0.2500975419430355,0.30003901677721423,0.09364026531408505,0.3744149765990639,1.2478876268184664,0.018601244731098573,1.1188902499895401,1,1,2
26,frozenset({'Hikawa Hina'}),frozenset({'Aoba Moca'}),0.19586422161529457,0.3499804916113929,0.0850565743269606,0.4342629482071713,1.2408204417558306,0.016507917756956994,1.1489781451094394,1,1,2
0,frozenset({'Aoba Moca'}),frozenset({'Okusawa Misaki'}),0.3499804916113929,0.3312524385485759,0.14202106905969566,0.4057971014492754,1.2250388351171881,0.02608917776899236,1.125453213174348,1,1,2
1,frozenset({'Okusawa Misaki'}),frozenset({'Aoba Moca'}),0.3312524385485759,0.3499804916113929,0.14202106905969566,0.4287396937573616,1.2250388351171881,0.02608917776899236,1.1378692012823246,1,1,2
53,frozenset({'Minato Yukina'}),frozenset({'Maruyama Aya'}),0.16777214202106905,0.30003901677721423,0.06125634022629731,0.36511627906976746,1.2168959990322679,0.010918151691688603,1.1025026475670254,1,1,2
64,frozenset({'Uehara Himari'}),frozenset({'Maruyama Aya'}),0.14553257900897387,0.30003901677721423,0.053062817011314864,0.36461126005361927,1.2152128212190196,0.0093973650964101,1.1016263575615997,1,1,2
40,frozenset({'Shirasagi Chisato'}),frozenset({'Hikawa Sayo'}),0.1946937182988685,0.2758486149044089,0.06515801794771751,0.3346693386773547,1.213235523380566,0.011452025424385476,1.0884082565141566,1,1,2
9,frozenset({'Ichigaya Arisa'}),frozenset({'Okusawa Misaki'}),0.27155676941084667,0.3312524385485759,0.10690596956691377,0.3936781609195402,1.1884536236004495,0.01695212749519749,1.102958063436472,1,1,2
8,frozenset({'Okusawa Misaki'}),frozenset({'Ichigaya Arisa'}),0.3312524385485759,0.27155676941084667,0.10690596956691377,0.3227326266195524,1.1884536236004493,0.01695212749519749,1.075562265687289,1,1,2
44,frozenset({'Hikawa Hina'}),frozenset({'Hikawa Sayo'}),0.19586422161529457,0.2758486149044089,0.06359734685914943,0.3247011952191235,1.1770992409428764,0.00956847261724024,1.0723421690796069,1,1,2
41,frozenset({'Hazawa Tsugumi'}),frozenset({'Ushigome Yuri'}),0.16894264533749512,0.3281310963714397,0.06515801794771751,0.3856812933025404,1.1753878177579205,0.009722682509233943,1.0936813356058896,1,1,2
14,frozenset({'Matsubara Kanon'}),frozenset({'Ushigome Yuri'}),0.2500975419430355,0.3281310963714397,0.0963714397190792,0.38533541341653665,1.1743337272135357,0.014306659081508827,1.093065906664739,1,1,2
55,frozenset({'Tsurumaki Kokoro'}),frozenset({'Maruyama Aya'}),0.17362465860319937,0.30003901677721423,0.060476004682013265,0.34831460674157305,1.1608977075145015,0.00838183282642984,1.0740780604625506,1,1,2
60,frozenset({'Shirokane Rinko'}),frozenset({'Ichigaya Arisa'}),0.18181818181818182,0.27155676941084667,0.05696449473273508,0.3133047210300429,1.153735632183908,0.007590536658035683,1.0607954545454545,1,1,2
12,frozenset({'Okusawa Misaki'}),frozenset({'Hikawa Sayo'}),0.3312524385485759,0.2758486149044089,0.10534529847834569,0.31802120141342755,1.1528830823516476,0.013969772121013205,1.061838559492499,1,1,2
13,frozenset({'Hikawa Sayo'}),frozenset({'Okusawa Misaki'}),0.2758486149044089,0.3312524385485759,0.10534529847834569,0.3818953323903819,1.1528830823516476,0.013969772121013205,1.081932553652533,1,1,2
28,frozenset({'Imai Lisa'}),frozenset({'Maruyama Aya'}),0.23800234100663284,0.30003901677721423,0.08232539992196644,0.34590163934426227,1.1528555287897844,0.010915411535661071,1.0701157888869657,1,1,2
191,frozenset({'Nijukki Hinako'}),frozenset({'Okusawa Misaki'}),0.06437768240343347,0.3312524385485759,0.024580569644947328,0.38181818181818183,1.1526501766784454,0.0032553053607042477,1.0817975258773038,1,1,2
31,frozenset({'Yamabuki Saaya'}),frozenset({'Okusawa Misaki'}),0.2001560671088568,0.3312524385485759,0.07608271556769411,0.3801169590643275,1.1475144476818273,0.009780530247592886,1.0788286132848446,1,1,2
20,frozenset({'Ichigaya Arisa'}),frozenset({'Maruyama Aya'}),0.27155676941084667,0.30003901677721423,0.09325009754194304,0.34339080459770116,1.1444871679894772,0.011772471448715918,1.0660237293721202,1,1,2
