,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,antecedent_len,consequent_len,rule_len
35,frozenset({'Other'}),"frozenset({'Hello, Happy World!'})",0.057015770319450064,0.34371209057824503,0.03517994338859685,0.6170212765957447,1.795168961201502,0.015582933776169611,1.7136406523790269,1,1,2
3,frozenset({'Male'}),"frozenset({""Poppin'Party""})",0.526081682167408,0.30731904569348967,0.19247877072381722,0.36587240584166025,1.19052955216635,0.030803850203303645,1.0923368746094182,1,1,2
2,"frozenset({""Poppin'Party""})",frozenset({'Male'}),0.30731904569348967,0.526081682167408,0.19247877072381722,0.6263157894736843,1.19052955216635,0.030803850203303645,1.2682321181435563,1,1,2
8,frozenset({'Female'}),"frozenset({'Hello, Happy World!'})",0.41690254751314193,0.34371209057824503,0.16538617064294378,0.39670223084384093,1.1541701375021396,0.022091724469805646,1.0878341392505295,1,1,2
9,"frozenset({'Hello, Happy World!'})",frozenset({'Female'}),0.34371209057824503,0.41690254751314193,0.16538617064294378,0.48117647058823526,1.1541701375021396,0.022091724469805646,1.1238839787161663,1,1,2
0,frozenset({'Roselia'}),frozenset({'Male'}),0.48038819247877074,0.526081682167408,0.28305701577031944,0.5892255892255892,1.120026811802369,0.030333587377727123,1.153719183576064,1,1,2
1,frozenset({'Male'}),frozenset({'Roselia'}),0.526081682167408,0.48038819247877074,0.28305701577031944,0.5380476556495003,1.1200268118023688,0.030333587377727123,1.1248169077955394,1,1,2
12,frozenset({'Female'}),frozenset({'Afterglow'}),0.41690254751314193,0.34371209057824503,0.15649009300444805,0.3753637245392823,1.092087636218406,0.013195646831309915,1.0506721034376232,1,1,2
13,frozenset({'Afterglow'}),frozenset({'Female'}),0.34371209057824503,0.41690254751314193,0.15649009300444805,0.45529411764705885,1.092087636218406,0.013195646831309915,1.0704812842631304,1,1,2
42,frozenset({'RAISE A SUILEN'}),frozenset({'Female'}),0.06267691063485645,0.41690254751314193,0.027496967246259604,0.43870967741935485,1.052307499765339,0.0013668035323344124,1.0388517831662414,1,1,2
15,frozenset({'Female'}),frozenset({'Pastel*Palettes'}),0.41690254751314193,0.305701577031945,0.1293974929235746,0.31037827352085356,1.0152982412924219,0.0019497266801717372,1.006781538790527,1,1,2
16,frozenset({'Pastel*Palettes'}),frozenset({'Female'}),0.305701577031945,0.41690254751314193,0.1293974929235746,0.4232804232804233,1.0152982412924219,0.0019497266801717372,1.0110588855047355,1,1,2
10,frozenset({'Pastel*Palettes'}),frozenset({'Male'}),0.305701577031945,0.526081682167408,0.16053376465830974,0.5251322751322751,0.9981953239063154,-0.0002902352278853493,0.9980006915917535,1,1,2
11,frozenset({'Male'}),frozenset({'Pastel*Palettes'}),0.526081682167408,0.305701577031945,0.16053376465830974,0.3051498847040738,0.9981953239063154,-0.0002902352278853493,0.9992060268599995,1,1,2
6,frozenset({'Afterglow'}),frozenset({'Male'}),0.34371209057824503,0.526081682167408,0.1694298422968055,0.4929411764705882,0.9370050187638468,-0.011390792495874158,0.9346416941013994,1,1,2
7,frozenset({'Male'}),frozenset({'Afterglow'}),0.526081682167408,0.34371209057824503,0.1694298422968055,0.3220599538816295,0.9370050187638468,-0.011390792495874158,0.9680618709271012,1,1,2
49,frozenset({'Other'}),frozenset({'Afterglow'}),0.057015770319450064,0.34371209057824503,0.017792155276991507,0.31205673758865243,0.9079015435961617,-0.0018048543354357294,0.9539855178192521,1,1,2
39,frozenset({'RAISE A SUILEN'}),frozenset({'Male'}),0.06267691063485645,0.526081682167408,0.029923170238576626,0.4774193548387097,0.9075004339093997,-0.0030500043412649593,0.90688073165496,1,1,2
5,frozenset({'Roselia'}),frozenset({'Female'}),0.48038819247877074,0.41690254751314193,0.17953902143145978,0.37373737373737376,0.8964621971411497,-0.020736039808173318,0.9310749644548217,1,1,2
4,frozenset({'Female'}),frozenset({'Roselia'}),0.41690254751314193,0.48038819247877074,0.17953902143145978,0.43064985451018434,0.8964621971411497,-0.020736039808173318,0.9126401593771506,1,1,2
19,"frozenset({""Poppin'Party""})",frozenset({'Female'}),0.30731904569348967,0.41690254751314193,0.10311362717347351,0.33552631578947373,0.8048075450507939,-0.02500846587545001,0.8775327997822022,1,1,2
14,"frozenset({'Hello, Happy World!'})",frozenset({'Male'}),0.34371209057824503,0.526081682167408,0.1431459765467044,0.41647058823529415,0.7916462449699326,-0.03767465824597524,0.8121584075760145,1,1,2
48,frozenset({'Other'}),frozenset({'Roselia'}),0.057015770319450064,0.48038819247877074,0.017792155276991507,0.31205673758865243,0.649592855266614,-0.009597547569553853,0.7553120088710652,1,1,2
