,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,antecedent_len,consequent_len,rule_len
23,frozenset({'Seta Kaoru'}),frozenset({'Female'}),0.1625556004852406,0.41690254751314193,0.10351799433885968,0.6368159203980099,1.5274934734668075,0.03574815038403434,1.6055149034227187,1,1,2
99,frozenset({'Kitazawa Hagumi'}),frozenset({'Female'}),0.07116862110796603,0.41690254751314193,0.043671653861706426,0.6136363636363636,1.4718940128736444,0.014001274418797824,1.509193406436574,1,1,2
68,frozenset({'Udagawa Tomoe'}),frozenset({'Female'}),0.08976951071572989,0.41690254751314193,0.05499393449251921,0.6126126126126126,1.469438400573221,0.017568796786123123,1.5052050517684008,1,1,2
396,frozenset({'Wakana LAYER Rei'}),frozenset({'Female'}),0.027496967246259604,0.41690254751314193,0.015365952284674484,0.5588235294117647,1.3404176413533406,0.0039023965908234325,1.3216875589702117,1,1,2
322,frozenset({'Tsukishima Marina'}),frozenset({'Male'}),0.02668823291548726,0.526081682167408,0.01860088960776385,0.6969696969696969,1.324831714531945,0.004560699141508721,1.5639304488475532,1,1,2
19,frozenset({'Yamabuki Saaya'}),frozenset({'Male'}),0.15851192883137888,0.526081682167408,0.10917913465426607,0.6887755102040817,1.309255831464023,0.025788912491053806,1.5227539392653777,1,1,2
76,frozenset({'Uehara Himari'}),frozenset({'Female'}),0.09704811969268096,0.41690254751314193,0.05014152850788516,0.5166666666666667,1.2392984157775624,0.009681920176646153,1.206408522386603,1,1,2
71,frozenset({'Yamato Maya'}),frozenset({'Female'}),0.10756166599272139,0.41690254751314193,0.05297209866558836,0.4924812030075188,1.1812861445563472,0.008129366098465124,1.14891794341855,1,1,2
144,frozenset({'Asahi LOCK Rokka'}),frozenset({'Male'}),0.05418520016174687,0.526081682167408,0.03315810756166599,0.6119402985074626,1.1632039648031935,0.00465226631199649,1.2212510497993712,1,1,2
18,frozenset({'Matsubara Kanon'}),frozenset({'Male'}),0.1819652244237768,0.526081682167408,0.11120097048119693,0.611111111111111,1.161627807669314,0.015472399120366506,1.2186471029980934,1,1,2
81,frozenset({'Wakamiya Eve'}),frozenset({'Female'}),0.10068742418115649,0.41690254751314193,0.048119692680954305,0.4779116465863454,1.146338993218266,0.0061428490372938335,1.1168558897632896,1,1,2
5,frozenset({'Minato Yukina'}),frozenset({'Male'}),0.24342903356247472,0.526081682167408,0.14557217953902143,0.5980066445182725,1.1367182412710897,0.01750862407408832,1.178920774112481,1,1,2
11,frozenset({'Ichigaya Arisa'}),frozenset({'Male'}),0.20622725434694703,0.526081682167408,0.12292761827739587,0.596078431372549,1.133053005983331,0.014435237401788079,1.1732929227894267,1,1,2
34,frozenset({'Toyama Kasumi'}),frozenset({'Male'}),0.1443590780428629,0.526081682167408,0.08491710473109583,0.5882352941176471,1.11814441379934,0.008972438118170376,1.1509444861648663,1,1,2
2,frozenset({'Imai Lisa'}),frozenset({'Male'}),0.29680549939344925,0.526081682167408,0.17387788111605337,0.5858310626702997,1.1135743412633752,0.01773394471860998,1.1442633068721135,1,1,2
6,frozenset({'Maruyama Aya'}),frozenset({'Male'}),0.2466639708855641,0.526081682167408,0.14233724221593205,0.5770491803278688,1.0968813397008605,0.012571845482361926,1.1205045499142676,1,1,2
7,frozenset({'Shirokane Rinko'}),frozenset({'Male'}),0.24019409623938537,0.526081682167408,0.13829357056207037,0.5757575757575758,1.094426198961172,0.011931856365774207,1.1170931777482527,1,1,2
66,frozenset({'Udagawa Ako'}),frozenset({'Female'}),0.12414071977355438,0.41690254751314193,0.055802668823291546,0.4495114006514658,1.078216967808996,0.004048086499581653,1.0592362006713931,1,1,2
538,frozenset({'Nyubara PAREO Reona'}),frozenset({'Male'}),0.023048928427011728,0.526081682167408,0.01293974929235746,0.5614035087719298,1.0671413352751593,0.0008141302533189402,1.0805337646583095,1,1,2
24,frozenset({'Hanazono Tae'}),frozenset({'Male'}),0.1734735139506672,0.526081682167408,0.09664375252729479,0.5571095571095571,1.0589791965656685,0.005382514496636459,1.0700576755272735,1,1,2
28,frozenset({'Hikawa Hina'}),frozenset({'Male'}),0.1665992721391023,0.526081682167408,0.09260008087343308,0.5558252427184466,1.0565379133302986,0.004955255538628342,1.066963644519278,1,1,2
4,frozenset({'Aoba Moca'}),frozenset({'Male'}),0.2664779619894865,0.526081682167408,0.1475940153659523,0.5538694992412746,1.052820347135797,0.007404840861980622,1.0622862974546874,1,1,2
27,frozenset({'Mitake Ran'}),frozenset({'Male'}),0.1694298422968055,0.526081682167408,0.09381318236959159,0.5536992840095466,1.0524967942779466,0.0046792459247295,1.0618811506516368,1,1,2
331,frozenset({'Tamade CHU2 Chiyu'}),frozenset({'Female'}),0.04205418520016175,0.41690254751314193,0.01819652244237768,0.43269230769230765,1.037873983436544,0.0006640254988407764,1.0278327976039532,1,1,2
113,frozenset({'Ushigome Rimi'}),frozenset({'Female'}),0.09017387788111605,0.41690254751314193,0.03881924787707238,0.43049327354260086,1.0325992875565975,0.0012255284692961402,1.0238640307446405,1,1,2
70,frozenset({'Hazawa Tsugumi'}),frozenset({'Female'}),0.12778002426202992,0.41690254751314193,0.05418520016174687,0.42405063291139244,1.0171456985352798,0.0009133825256155137,1.0124109614606986,1,1,2
41,frozenset({'Shirasagi Chisato'}),frozenset({'Female'}),0.16983420946219166,0.41690254751314193,0.07197735543873837,0.4238095238095238,1.0165673640940371,0.0011730408590701208,1.0119873142333902,1,1,2
0,frozenset({'Hikawa Sayo'}),frozenset({'Male'}),0.32955923978972906,0.526081682167408,0.1750909826122119,0.5312883435582823,1.0098970588928762,0.0017159033698190551,1.011108452967441,1,1,2
16,frozenset({'Okusawa Misaki'}),frozenset({'Female'}),0.26809543065103114,0.41690254751314193,0.11200970481196927,0.4177978883861237,1.002147602307356,0.00024003679692151392,1.0015378523284635,1,1,2
9,frozenset({'Hikawa Sayo'}),frozenset({'Female'}),0.32955923978972906,0.41690254751314193,0.137484836231298,0.4171779141104294,1.0006605059118254,9.074960646554553e-05,1.0004724711090303,1,1,2
49,frozenset({'Hazawa Tsugumi'}),frozenset({'Male'}),0.12778002426202992,0.526081682167408,0.06672058228871816,0.5221518987341772,0.9925300888313761,-0.0005021478224427472,0.9917760823516495,1,1,2
31,frozenset({'Shirasagi Chisato'}),frozenset({'Male'}),0.16983420946219166,0.526081682167408,0.08734330772341285,0.5142857142857142,0.977577687493137,-0.002003358880028866,0.9757141837729834,1,1,2
30,frozenset({'Tsurumaki Kokoro'}),frozenset({'Male'}),0.17145167812373635,0.526081682167408,0.0881520420541852,0.5141509433962264,0.9773215088538568,-0.002045545183575012,0.9754435279661116,1,1,2
268,frozenset({'Tamade CHU2 Chiyu'}),frozenset({'Male'}),0.04205418520016175,0.526081682167408,0.021431459765467044,0.5096153846153846,0.9687001123396203,-0.0006924767268137628,0.9664216677370502,1,1,2
93,frozenset({'Ushigome Rimi'}),frozenset({'Male'}),0.09017387788111605,0.526081682167408,0.04569348968863728,0.5067264573991032,0.9632087080307318,-0.001745335674618681,0.960761680696982,1,1,2
46,frozenset({'Tsurumaki Kokoro'}),frozenset({'Female'}),0.17145167812373635,0.41690254751314193,0.06793368378487667,0.39622641509433965,0.9504053584173636,-0.003544957600312232,0.9657551556813587,1,1,2
48,frozenset({'Mitake Ran'}),frozenset({'Female'}),0.1694298422968055,0.41690254751314193,0.06712494945410433,0.39618138424821003,0.9502973455342614,-0.003510783424183775,0.965683132774678,1,1,2
26,frozenset({'Shirokane Rinko'}),frozenset({'Female'}),0.24019409623938537,0.41690254751314193,0.09462191670036393,0.3939393939393939,0.9449196132028334,-0.005515613919452614,0.9621107966033158,1,1,2
53,frozenset({'Hikawa Hina'}),frozenset({'Female'}),0.1665992721391023,0.41690254751314193,0.06550748079255965,0.3932038834951457,0.9431553868899081,-0.003948180176067309,0.9609446016983422,1,1,2
25,frozenset({'Maruyama Aya'}),frozenset({'Female'}),0.2466639708855641,0.41690254751314193,0.09623938536190861,0.3901639344262295,0.9358636370863875,-0.006595452479990535,0.9561544247768372,1,1,2
22,frozenset({'Aoba Moca'}),frozenset({'Female'}),0.2664779619894865,0.41690254751314193,0.10351799433885968,0.3884673748103186,0.9317941977748961,-0.00757734687066744,0.9535017895504702,1,1,2
10,frozenset({'Okusawa Misaki'}),frozenset({'Male'}),0.26809543065103114,0.526081682167408,0.13141932875050547,0.4901960784313726,0.93178701149945,-0.009620766387784668,0.9296090080562381,1,1,2
61,frozenset({'Udagawa Ako'}),frozenset({'Male'}),0.12414071977355438,0.526081682167408,0.0606550748079256,0.488599348534202,0.9287518746541749,-0.004653083876018711,0.926706519583476,1,1,2
47,frozenset({'Hanazono Tae'}),frozenset({'Female'}),0.1734735139506672,0.41690254751314193,0.06712494945410433,0.38694638694638694,0.9281458922584044,-0.005196600437985394,0.951136148733316,1,1,2
17,frozenset({'Imai Lisa'}),frozenset({'Female'}),0.29680549939344925,0.41690254751314193,0.11160533764658309,0.3760217983651226,0.9019417142162447,-0.012133631166456202,0.9344836902300302,1,1,2
29,frozenset({'Minato Yukina'}),frozenset({'Female'}),0.24342903356247472,0.41690254751314193,0.09138697937727457,0.3754152823920266,0.9004868994718543,-0.010099204853583274,0.9335762404177887,1,1,2
39,frozenset({'Ichigaya Arisa'}),frozenset({'Female'}),0.20622725434694703,0.41690254751314193,0.07642539425798625,0.37058823529411766,0.8889085411080049,-0.009551273445896638,0.9264165132968774,1,1,2
85,frozenset({'Wakamiya Eve'}),frozenset({'Male'}),0.10068742418115649,0.526081682167408,0.046906591184795794,0.46586345381526106,0.8855344514105615,-0.006063218301530365,0.8872606100775594,1,1,2
72,frozenset({'Toyama Kasumi'}),frozenset({'Female'}),0.1443590780428629,0.41690254751314193,0.052567731500202185,0.36414565826330536,0.8734551046412746,-0.007615935892515836,0.9170299142634729,1,1,2
314,frozenset({'Asahi LOCK Rokka'}),frozenset({'Female'}),0.05418520016174687,0.41690254751314193,0.01860088960776385,0.34328358208955223,0.823414450540701,-0.0039890583771779314,0.8878983935595338,1,1,2
87,frozenset({'Yamato Maya'}),frozenset({'Male'}),0.10756166599272139,0.526081682167408,0.04650222401940962,0.4323308270676691,0.8217941086382365,-0.010083998162770134,0.834849487042844,1,1,2
110,frozenset({'Uehara Himari'}),frozenset({'Male'}),0.09704811969268096,0.526081682167408,0.04003234937323089,0.4125,0.784098770176787,-0.011022888685878661,0.8066694771618587,1,1,2
62,frozenset({'Matsubara Kanon'}),frozenset({'Female'}),0.1819652244237768,0.41690254751314193,0.059037606146380914,0.3244444444444444,0.7782261019506412,-0.01682415947469222,0.8631376763785727,1,1,2
691,frozenset({'Wakana LAYER Rei'}),frozenset({'Male'}),0.027496967246259604,0.526081682167408,0.010513546300040437,0.3823529411764706,0.726793868969571,-0.003952104483373936,0.7672963241099108,1,1,2
177,frozenset({'Udagawa Tomoe'}),frozenset({'Male'}),0.08976951071572989,0.526081682167408,0.028305701577031946,0.3153153153153153,0.5993656992888353,-0.018920393627644395,0.6921701747291804,1,1,2
