,North America,Southeast Asia,Europe,South America,Oceania,East Asia,South Asia,Middle East,Central America,Other,North/Central Asia,Africa
Anime,0.6390697674418605,0.6594202898550725,0.6351931330472103,0.696969696969697,0.6666666666666666,0.6,0.7894736842105263,0.5789473684210527,0.5789473684210527,0.42857142857142855,0.5,1.0
Music,0.6223255813953489,0.7043478260869566,0.6502145922746781,0.696969696969697,0.7222222222222222,0.6,0.7368421052631579,0.6842105263157895,0.7368421052631579,0.5,0.75,1.0
Lives,0.33674418604651163,0.44782608695652176,0.2918454935622318,0.3106060606060606,0.4,0.5333333333333333,0.3684210526315789,0.3157894736842105,0.3684210526315789,0.21428571428571427,0.375,0.0
Seiyuu,0.2846511627906977,0.4492753623188406,0.296137339055794,0.36363636363636365,0.37777777777777777,0.5,0.3157894736842105,0.3684210526315789,0.42105263157894735,0.21428571428571427,0.25,0.0
Livestreams,0.19069767441860466,0.32753623188405795,0.2017167381974249,0.22727272727272727,0.18888888888888888,0.36666666666666664,0.2631578947368421,0.21052631578947367,0.2631578947368421,0.14285714285714285,0.375,0.0
Story/Universe,0.46511627906976744,0.4971014492753623,0.5128755364806867,0.45454545454545453,0.5,0.4,0.42105263157894735,0.5789473684210527,0.47368421052631576,0.14285714285714285,0.5,1.0
TV Programs,0.16837209302325581,0.3289855072463768,0.1630901287553648,0.30303030303030304,0.2222222222222222,0.36666666666666664,0.2631578947368421,0.15789473684210525,0.42105263157894735,0.14285714285714285,0.125,0.0
Merchandise,0.24465116279069768,0.2289855072463768,0.20815450643776823,0.06060606060606061,0.2222222222222222,0.2,0.15789473684210525,0.10526315789473684,0.15789473684210525,0.21428571428571427,0.25,0.0
Game,0.9023255813953488,0.9188405797101449,0.8841201716738197,0.9090909090909091,0.8777777777777778,0.9,0.8421052631578947,0.9473684210526315,0.9473684210526315,0.7857142857142857,1.0,1.0
Weiss Schwarz,0.03441860465116279,0.03768115942028986,0.03648068669527897,0.015151515151515152,0.05555555555555555,0.03333333333333333,0.05263157894736842,0.0,0.0,0.07142857142857142,0.0,0.0
Radios,0.11348837209302326,0.24782608695652175,0.10300429184549356,0.20454545454545456,0.08888888888888889,0.3333333333333333,0.15789473684210525,0.2631578947368421,0.3157894736842105,0.07142857142857142,0.125,0.0
Manga,0.0827906976744186,0.1246376811594203,0.09227467811158799,0.08333333333333333,0.1,0.06666666666666667,0.21052631578947367,0.10526315789473684,0.15789473684210525,0.07142857142857142,0.375,1.0
Other,0.026046511627906978,0.02318840579710145,0.030042918454935622,0.007575757575757576,0.0,0.0,0.0,0.0,0.0,0.21428571428571427,0.0,0.0
